Avg Pump Difference,Pressure Gradient (psi/ft) new,Fluid System,Avg Open Pressure,Avg Close Pressure
-0.93,0.593758088,0.0,3304.124833,2719.898438
-8.45,0.597058903,0.0,3301.199254,2934.885325
8.7,0.516873265,0.0,2774.40708,1589.948673
19.93,0.503327426,0.0,2969.6114016666666,2441.2489036666666
-4.34,0.565199923,0.0,2963.567911,2063.408619
0.54,0.561294383,0.0,2814.617107,2330.939138
66.52,0.493533848,0.0,2697.57656,1975.744979
3.39,0.56011052,0.0,2892.427934,2235.44895
13.78,0.540762005,0.0,2763.612613,1671.514259
56.25,0.523597524,0.0,2525.493936,1097.263009
65.88,0.519705507,0.0,2434.963424,1341.334898
75.57,0.519913983,0.0,2446.081885,2222.396037
43.66,0.532913717,0.0,2701.389381,1665.823009
66.63,0.523556027,0.0,2520.10571,2054.614706
80.58,0.477080938,2.0,2150.105179,995.6670335
92.39,0.472648666,2.0,2046.380523,1160.647734
42.91,0.526571643,0.0,2405.210273,890.668334
5.23,0.54173063,0.0,2565.229027,1148.561993
39.6,0.527903284,0.0,2318.39506,1121.475183
-1.48,0.548908027,0.0,2634.323963,1919.710804
1.96,0.548135939,0.0,2646.22424,2127.969411
24.21,0.538487713,0.0,2986.739204666667,2075.985764
-0.16,0.559608477,0.0,2889.833674,1210.401539
6.03,0.5319373543333333,1.0,3579.913367,2522.649904
-5.8,0.561943033,0.0,3136.370858,2252.870766
6.66,0.556785485,0.0,3087.582724,1618.171604
117.26,0.453435,2.0,2203.2,1934.1
43.38,0.480570763,1.0,2508.920546,2411.60484
-1.7,0.563370555,0.0,3194.020031,2330.800646
-2.26,0.563603648,0.0,3329.887249,2980.856098
-2.68,0.563778467,0.0,3327.534621,3149.661193
-1.31,0.496985182,1.0,2829.617284,2608.790227
22.29,0.560853528,1.0,2895.781701,2045.250442
2.02,0.495762089,1.0,2862.54691,2273.230704
-1.6,0.497091697,1.0,2900.09162,2282.820439
35.92,0.55510365,1.0,2679.837799,1772.547649
5.66,0.575120123,0.0,3182.050596,2574.363601
22.17,0.493067694,1.0,3005.113167,2282.086287
21.61,0.493275362,1.0,2971.983301,2142.592613
29.69,0.490279015,1.0,2845.631012,2129.566772
16.52,0.535544531,0.0,3141.92177,1392.658407
-2.68,0.566905359,0.0,3206.060085,3174.606856
26.71,0.531457553,0.0,3011.029665,1471.735591
34.34,0.528397333,0.0,3065.385433,1447.914205
-0.74,0.599503194,0.0,2699.694344,1388.785071
8.38,0.537465379,0.0,2720.173821,1779.642763
30.48,0.528623678,0.0,2698.622709,1642.325348
27.8,0.529695884,0.0,2602.510781,1705.952043
-3.75,0.528340498,1.0,3051.250581,2137.722016
-1.36,0.578119357,0.0,3144.844132,2918.588565
-2.27,0.578508146,0.0,3139.15703,2437.832928
7.49,0.574338272,0.0,3075.345848,2844.454398
11.63,0.543487253,0.0,3246.15202,3007.073721
-2.38,0.538644008,1.0,3406.343871,2644.198823
33.8,0.535104953,0.0,3009.242955,2425.083694
-1.2,0.5318339203333333,1.0,3441.765756,2362.696429
1.58,0.560550671,0.0,3545.666018,2878.360677
0.1,0.561165108,0.0,3545.595491,2777.491166
2.87,0.557316247,0.0,3411.085879,2875.21182
6.98,0.536369705,0.0,3278.712697,3035.88471
0.4,0.53899411,0.0,3167.211166,2956.639677
60.35,0.515083309,0.0,2842.276922,2334.65693
26.48,0.547561566,0.0,3391.551227,2901.845333
25.11,0.548127593,0.0,3385.92728,2977.532359
22.57,0.55091589,0.0,2793.152774,2435.512097
57.13,0.499729856,2.0,2903.189111,1572.188565
24.68,0.512255381,0.0,3079.502378,1542.878646
-0.46,0.562230068,0.0,3110.4747236666667,1958.012228
49.95,0.492984227,2.0,2956.58701,2377.513451
18.09,0.554517436,0.0,3503.145764,2588.412089
26.83,0.553024696,0.0,3340.95279,2544.943509
72.63,0.490793908,0.0,2810.163763,1716.51506
5.73,0.57073975,0.0,2688.771443,2235.463224
5.14,0.570989915,0.0,2677.106456,2569.850589
1.47,0.518512647,0.0,2983.398776,2805.494621
86.53,0.485850131,0.0,2585.168365,2318.978438
38.63,0.504243436,0.0,2841.718050333333,2696.502663
9.41,0.486643219,0.0,3030.600808,2894.154482
4.52,0.488415961,0.0,2960.748549,2804.015668
15.09,0.484584082,0.0,3064.953528,3064.953528
25.29,0.503955815,0.0,3295.453913,2522.626225
29.13,0.501580903,0.0,3480.775229,2574.593043
29.48,0.498599038,1.0,2768.887457,2371.409781
12.63,0.511444884,1.0,2594.2212,1890.757538
102.51,0.517879525,2.0,2269.844556,1693.156406
92.25,0.52494356,2.0,2377.199546,1710.870419
6.34,0.513847136,1.0,2730.315121,1933.705533
6.17,0.513912062,1.0,2575.69115,2075.546549
7.24,0.505226105,1.0,2781.318653,2295.844348
-4.14,0.509502253,1.0,2906.213082,2247.58738
26.68,0.497921332,1.0,2738.838669,1984.22885
0.67,0.554482208,0.0,3148.721362,2662.974152
-2.8,0.555906257,0.0,3202.266903,2314.917876
55.13,0.532132444,0.0,2924.140031,2087.818061
1.51,0.562450063,0.0,3132.012505,2839.83509
33.77,0.485013292,1.0,2582.552389,2372.739292
18.72,0.553742583,0.0,3214.919515,3058.222424
-0.55,0.502013393,1.0,2941.1734126666665,2509.734182
14.37,0.492152253,1.0,2718.909404,2123.056545
45.67,0.542547808,0.0,3183.079823,3091.153367
-0.46,0.501979983,1.0,2741.32059,2879.175352
23.0,0.488976519,1.0,2576.100462,2386.942578
11.92,0.498518451,1.0,2670.179469,2619.197522
0.89,0.544308289,1.0,3135.863594,1958.565871
-2.13,0.522708084,0.0,2903.359808,2793.901301
-1.45,0.551499235,0.0,3383.440746,2830.180516
-1.63,0.551572593,0.0,3452.534082,2665.209027
0.25,0.544566161,1.0,3179.769204,2010.03753
3.63,0.595283831,0.0,2888.209673,2438.908726
10.28,0.517916936,0.0,2810.670566,2379.488149
15.66,0.537945825,1.0,2758.176414,2054.635437
40.52,0.534394724,0.0,3069.592497,2324.338199
5.25,0.591149071,1.0,3405.908673,2287.406549
-5.71,0.510718973,0.0,3129.436529,3092.401778
22.28,0.583672645,1.0,3019.273459,2491.999092
81.66,0.511177664,2.0,2178.831474,1487.563294
1.55,0.510585209,0.0,3317.264094,3062.836299
70.53,0.515657072,2.0,2147.943132,1531.745871
8.07,0.508119701,0.0,3156.085533,3062.097199
0.85,0.574264328,0.0,3479.21576,3024.888888
62.68,0.518816402,2.0,2206.131451,1571.450458
0.88,0.574251575,0.0,3440.218761,2890.949204
11.23,0.60038708,0.0,3119.387257,2420.874159
58.05,0.502460988,2.0,2485.747411,2501.605448
67.17,0.498918962,2.0,2416.34651,2168.165348
-1.91,0.58533376,0.0,3012.960439,2625.100015
-0.13,0.582275356,0.0,2939.421008,2292.099985
29.05,0.539171012,0.0,2725.084317,1668.609211
33.22,0.537471243,0.0,2703.052235,1703.5611
-3.13,0.574183679,0.0,3418.652943,2803.295414
14.06,0.552795941,1.0,3173.314467,1813.776337
52.38,0.482264741,2.0,2383.651435,1890.723517
-0.56,0.573094568,0.0,3349.964309,3174.788642
11.31,0.497507574,1.0,2692.737861,2094.233551
11.7,0.556864871,1.0,3229.885956,2429.851705
3.86,0.548505379,0.0,2570.272566,2101.778068
7.71,0.546938715,0.0,2553.961908,2178.882147
-2.47,0.606314397,0.0,2919.941462,2657.547911
-0.71,0.605526426,0.0,2859.650296,2451.90137
12.44,0.545013956,0.0,2499.417045,1969.816576
5.27,0.577359106,1.0,3242.812405,2877.138122
-7.0,0.561498688,0.0,2769.57419,2289.427364
5.71,0.494821106,1.0,2278.39469,1324.59823
10.62,0.493016176,1.0,2189.968557,1408.901054
16.97,0.490681897,1.0,2204.64935,1123.938884
59.23,0.543280909,2.0,2825.472997,2453.491958
4.26,0.573436957,0.0,3159.452174,3048.83913
5.1,0.541161144,0.0,3480.652674,3228.586918
12.08,0.538356253,0.0,3531.805048,3114.487134
42.28,0.526220478,0.0,3223.889381,3042.133097
20.89,0.505115363,2.0,3272.850619,2823.121947
6.69,0.578302868,1.0,3301.484148,3030.730342
95.62,0.476753042,2.0,2899.779,2069.137445
74.43,0.484795295,2.0,2869.74137,1955.017345
19.04,0.508894243,1.0,2652.091397,2083.410681
20.93,0.508172567,1.0,2741.192112,1695.031604
18.53,0.574648808,1.0,2981.228426,2521.525948
-6.95,0.552904246,1.0,2901.40995,2612.251004
19.72,0.544716692,1.0,2862.625148,2721.909165
8.31,0.564166454,1.0,3348.244094,2846.434552
21.04,0.51058827,1.0,2537.420385,1685.325063
21.98,0.510739265,1.0,2325.636337,2008.504109
5.87,0.565191085,1.0,3355.734944,3106.09055
13.8,0.513880965,1.0,2519.909296,1889.667164
37.0,0.552118641,1.0,3169.855167,3050.102809
15.19,0.566522913,0.0,2778.035644,2535.961762
19.2,0.564823254,0.0,2569.498384,2313.074005
38.38,0.556693708,0.0,2584.143363,2555.544148
19.4,0.547718405,1.0,2666.452682,1770.280839
19.03,0.547870505,1.0,2722.559369,2523.886118
36.14,0.540836906,1.0,2655.381216,2462.709788
28.1,0.502990114,0.0,2913.556622,1741.495752
31.06,0.501865337,1.0,2964.785264,2221.265448
33.72,0.492131695,1.0,2410.974005,2433.602601
5.62,0.511532341,1.0,3061.117722,1963.574113
20.53,0.497056503,1.0,2485.828165,2458.557476
23.17,0.543612617,0.0,2738.44581,2779.193382
23.53,0.49593638,1.0,2424.761231,2323.468449
28.3,0.505867641,0.0,2712.567541,2313.355575
62.34,0.527585923,2.0,2514.476383,2120.666456
41.75,0.500726729,0.0,2597.442801,2254.978707
-0.84,0.606521422,0.0,2621.10985,1434.416699
2.96,0.605544059,0.0,2745.732051,1683.805117
-2.1,0.607815705,0.0,2846.88364,1917.067818
34.33,0.501028289,1.0,2727.339854,2165.224217
43.13,0.49727883,2.0,2730.944463,2086.997291
23.1,0.505299059,1.0,2707.380662,2690.661985
39.95,0.498487205,2.0,2661.586795,1997.20908
8.21,0.510961728,1.0,2804.131512,2854.3197
16.66,0.509494796,0.0,2144.46691,2110.712389
17.37,0.517438798,0.0,2659.629796,2523.697845
26.09,0.50589623,1.0,2019.252397,1753.971943
29.88,0.504449934,1.0,2143.447726,2124.827041
13.57,0.5194272,1.0,3062.199077,2622.471528
30.62,0.512809254,1.0,2714.593621,2578.192266
0.54,0.638137019,1.0,2909.625279,1749.014082
6.73,0.551270714,1.0,2789.780893,2643.175606
9.69,0.550057558,1.0,2758.72444,2515.777676
5.94,0.551594496,1.0,2721.171681,2383.70354
23.36,0.590354319,0.0,2801.394921,2238.400192
-1.54,0.558825852,0.0,3102.335321,2510.022085
71.19,0.569098586,0.0,2720.473551,2288.421185
-9.64,0.562170569,0.0,3281.536437,2623.257599
19.15,0.512544035,0.0,2574.941516,2112.50304
25.99,0.509913306,0.0,2573.080854,2105.910088
46.45,0.524243429,1.0,2110.786949,903.0374375
31.5,0.530247589,1.0,1900.924155,945.3021316
19.06,0.512578649,0.0,2613.121739,1950.906656
40.74,0.526536657,1.0,1824.858692,933.2935975
3.3,0.553714195,0.0,3015.39506,2746.547426
3.03,0.553825062,0.0,3041.303786,2686.28778
24.55,0.544886397,0.0,2899.708788,2551.451781
-3.38,0.528092002,0.0,3064.850396,2571.955575
22.51,0.520048796,0.0,3127.017699,2588.417661
23.13,0.517761364,0.0,3105.356922,2433.504802
30.18,0.508810297,0.0,2794.958161,1831.250796
2.1,0.519620935,1.0,3049.659077,1778.518946
-4.9,0.56397171,0.0,2901.724733,3079.070489
35.91,0.544779338,2.0,3020.245094,2234.940362
34.82,0.547460172,2.0,2711.988942,2767.440439
13.46,0.550263215,1.0,2576.26137,1012.064833
13.66,0.551107734,0.0,2789.521162,2937.843594
5.26,0.565343624,0.0,2970.475952,984.4393228
14.4,0.557698293,1.0,2597.085479,1325.000416
30.9,0.544007427,0.0,2591.577861,2666.980485
16.36,0.560683247,0.0,2817.625625,2045.152982
14.04,0.558569017,0.0,2700.095806,2485.147003
3.82,0.555160345,0.0,2876.678038,2559.673921
24.77,0.52886577,2.0,2617.333459,1913.749196
30.9,0.526422733,0.0,2585.380385,1319.029465
32.79,0.525669496,0.0,2623.4198,1695.386333
3.9,0.528055601,0.0,2739.891112,2319.774475
-12.43,0.532353541,0.0,2931.53319,2805.079207
22.47,0.520780505,1.0,2747.544833,2214.142524
-7.45,0.483027875,0.0,3006.098045,2805.181939
-5.57,0.482359784,0.0,3124.461324,2995.954375
30.95,0.558724894,1.0,2626.5012,2511.856437
-4.01,0.523538231,0.0,2749.20177,2586.205618
35.36,0.556859425,1.0,2528.183455,2720.054521
5.7,0.51916722,0.0,2582.789304,2392.027272
13.8,0.516043157,0.0,2790.013067,2428.815475
44.56,0.500457436,1.0,2217.049211,2051.099384
35.84,0.498732522,1.0,2379.743894,2201.34
44.16,0.500610571,1.0,2269.023278,2197.135437
-7.58,0.60044287,0.0,3380.159177,2756.549842
1.84,0.596281978,0.0,3426.887418,2834.186764
24.22,0.508244392,1.0,2276.248295,996.2498269
27.43,0.521181337,0.0,2690.113975,1538.691204
4.31,0.555684381,0.0,2910.095806,2736.134359
0.37,0.556269245,0.0,3200.823486,2704.069504
4.33,0.55463923,0.0,3337.386903,2630.823009
27.8,0.521035728,0.0,2693.826949,1628.125764
82.85,0.499371573,0.0,2460.5397,1571.429111
1.49,0.546975982,0.0,2401.098446,1218.33913
5.31,0.54542858,0.0,2770.815544,1507.649634
8.26,0.544233598,0.0,2583.971528,1561.060485
44.26,0.497453144,0.0,2090.504617,2082.40581
24.84,0.557633447,0.0,2780.694513,1882.284217
62.9,0.493733708,1.0,2241.767857,2155.205518
64.22,0.489859281,1.0,1975.04237,1654.048903
31.71,0.505681674,1.0,2395.528511,2422.351828
40.34,0.502375776,1.0,2302.56621,2319.878738
67.53,0.488599978,1.0,1997.994967,1929.637368
4.13,0.573803395,1.0,2541.351643,2025.777345
16.7,0.568451351,0.0,2945.96484,2364.788103
45.82,0.556052662,1.0,2420.850104,2450.138653
21.19,0.555890747,0.0,2848.074967,2566.20147
6.93,0.513621806,0.0,2680.928249,2614.600416
-11.64,0.569606335,0.0,2965.636783,2945.865871
89.05,0.480995633,0.0,2426.467749,2079.290404
71.44,0.534897499,0.0,2531.114675,2224.430535
27.28,0.505849813,0.0,2616.979761,2395.782663
44.92,0.499112812,0.0,2526.315152,2494.963763
35.52,0.501386052,1.0,2580.918415,2395.248211
53.86,0.522166364,1.0,2489.949673,2536.835745
22.48,0.530085303,0.0,2189.009027,1269.687988
35.46,0.524909284,0.0,1971.769373,845.3371297
18.04,0.531855836,0.0,2068.565102,695.83793
-4.78,0.49136987,0.0,2436.730435,1899.344348
48.35,0.470620779,1.0,2457.795237,1992.997284
58.35,0.468503159,1.0,2241.876345,1698.000908
40.1,0.47359954,1.0,2386.939138,2288.120062
15.32,0.484089323,1.0,2540.766233,1784.032197
6.63,0.528331752,0.0,3037.413451,2887.576283
55.0,0.527794988,1.0,3085.054913,2688.717968
50.44,0.469866159,1.0,2417.846164,1946.511574
69.27,0.520210586,0.0,2939.106995,2116.195991
14.12,0.542580394,1.0,3243.973159,2269.934221
49.09,0.567692327,0.0,2576.607895,1669.167595
27.6,0.577057303,0.0,3564.462932,1711.648042
19.7,0.580499989,0.0,2752.443301,1687.591143
7.44,0.567118068,0.0,3344.959992,2437.362986
58.71,0.507677464,0.0,2601.023124,2403.99092
39.6,0.51518029,0.0,2499.870135,1779.067449
65.98,0.504823171,0.0,2521.704779,1900.088888
24.23,0.497105243,1.0,2608.988542,2300.207811
5.61,0.566336185,0.0,3301.25279,2736.395575
-10.63,0.575894236,0.0,3170.934229,2693.813374
38.08,0.491919087,1.0,2556.699361,2494.365764
24.65,0.496947973,1.0,2626.137461,2492.693397
13.46,0.551499067,3.0,2459.688457,2144.941593
3.55,0.558487803,0.0,3424.968388,3046.566356
2.86,0.523480475,0.0,3033.434898,2767.646172
-12.69,0.56427,0.0,2930.4,2797.3
-6.8,0.568211579,0.0,2853.885895,2973.888742
17.82,0.551652783,0.0,2840.058261,2764.23913
6.86,0.557116681,0.0,3414.087611,3055.667257
2.5,0.564321968,0.0,3140.505725,2877.810012
2.13,0.558141283,0.0,2873.946195,2550.788826
30.86,0.51261445,2.0,2937.778684,2642.348057
-0.78,0.565693788,0.0,2959.448773,2590.599346
24.22,0.552479532,1.0,2838.529611,2302.328134
5.66,0.557613765,0.0,3553.95075,3150.969604
2.51,0.526523549,0.0,3141.537437,2888.534937
20.0,0.554235728,1.0,2970.618007,2431.078199
5.16,0.525489448,0.0,3258.339746,2699.552713
37.6,0.512830484,0.0,3247.780777,2846.921185
24.61,0.545678801,1.0,2527.246172,2177.977414
13.59,0.550209764,1.0,2557.76257,2405.186841
10.3,0.520696448,3.0,2503.979561,2432.650212
75.63,0.495240451,2.0,2302.201062,2088.177345
62.6,0.50039624,3.0,2549.867003,2577.422493
5.99,0.541321313,1.0,3266.242716,2844.170027
5.31,0.611224011,3.0,2754.731089,2863.03309
5.38,0.541566674,1.0,3375.251928,2958.170289
4.09,0.56853128,3.0,2928.200185,2381.445271
37.96,0.554243067,3.0,2747.262178,2309.826087
75.84,0.479939912,3.0,2740.898161,2287.936791
81.43,0.477837264,3.0,2667.717992,2357.296098
68.21,0.512639804,1.0,3056.211966,2032.922355
29.18,0.530874004,3.0,2969.985594,1821.549742
80.59,0.478153225,3.0,2761.233882,2149.114144
30.42,0.530376286,3.0,2966.579531,1818.19282
